id_lote;fecha_produccion;producto_id;presentacion_id;turno_id;timestamp_control_calidad;viscosidad_ku;ph;unidades_planificadas;unidades_producidas;costo_materia_prima_usd
LOT00060;29/8/2024;PRD014;PRE03;T2;29/8/2024 17:44;72.0;7.68;120;94;10945.86
LOT00061;13/2/2025;PRD016;PRE04;T3;14/2/2025 02:18;77.5;7.53;120;119;14323.2
LOT00062;11/07/2024;PRD028;PRE05;T3;12/7/2024 02:15;99.7;7.68;15;14;23693.21
LOT00063;13/9/2024;PRD011;PRE04;T2;13/9/2024 20:17;114.0;10.4;60;30;2539.19
LOT00064;1/3/2025;PRD002;PRE01;T1;1/3/2025 11:32;88.9;7.68;300;299;906.4
LOT00065;4/2/2025; PRD015 ;PRE04;T2;4/2/2025 19:49;76.8;6.62;120;114;12879.32
LOT00066;6/2/2025;PRD013;PRE05;T2;6/2/2025 16:43;93.0;6.82;25;24;28500.12
LOT00067;28/2/2025;prd011;PRE02;T1;28/2/2025 08:01;91.9;8.14;200;198;1529.05
LOT00068;28/12/2024;PRD004;PRE02;T2;28/12/2024 20:37;83.2;7.99;150;148;1925.01
LOT00069;21/6/2025;PRD008;PRE04;T3;22/6/2025 00:05;83.7;10.65;80;40;3436.71
LOT00070;18/2/2025;PRD021;PRE05;T1;18/2/2025 09:23;109.3;7.49;30;29;38760.06
LOT00071;19/10/2024;PRD003;PRE02;T3;20/10/2024 02:33;81.7;8.02;300;292;4101.67
LOT00072;31/08/2024;PRD001;PRE02;T2;31/8/2024 19:51;82.6;7.57;150;146;2116.81
LOT00073;24/1/2025;PRD002;PRE02;T2;24/1/2025 18:30;86.1;8.45;150;148;2031.38
LOT00074;6/12/2024;PRD028; PRE03 ;T3;7/12/2024 01:54;93.4;6.61;40;39;4224.51
LOT00075;27/9/2024;PRD021;PRE04;T1;27/9/2024 08:14;128.5;7.94;100;98;12623.71
LOT00076;26/2/2025;PRD021;PRE05;T1;26/2/2025 10:47;117.7;7.53;10;9;11884.59
LOT00077;10/04/25;PRD028;PRE05;T2;10/4/2025 19:12;79.6;7.21;15;14;22277.35
LOT00078;10/2/2025;PRD003;PRE03;T1;10/2/2025 10:54;93.8;7.58;80;78;3823.99
LOT00079;5/5/2025;PRD018;PRE03;T3;6/5/2025 02:20;79.5;6.07;100;53;6563.13
LOT00080;18/3/2025;PRD011;PRE04;T3;19/3/2025 00:12;96.2;9.43;80;79;3191.21
LOT00081;20/7/2024;PRD028;PRE05;T3;21/7/2024 01:11;53.3;8.12;30;22;41989.85
LOT00082;28/10/2024;PRD008;PRE05;T3;29/10/2024 02:33;108.1;8.29;30;29;11908.03
LOT00083;4/3/2025;PRD006;PRE04; T2 ;4/3/2025 20:29; 104.2 ;8.77;40;38;1684.2
LOT00084;29/1/2025;PRD014;PRE02;T2;29/1/2025 19:04;71.2;6.2;150;105;3571.96
LOT00085;12/5/2025;PRD005;PRE01;T3;12/5/2025 23:51;83.8;8.25;600;598;2038.44
LOT00086;13/3/2025;PRD004;PRE01;T1;13/3/2025 11:48;90.8;7.44;200;196;630.5
LOT00087;17/3/2025;PRD012;PRE02;T3;18/3/2025 02:59;76.1;7.08;200;192;3960.56
LOT00088;21/12/2024;PRD021;PRE01;T1;21/12/2024 11:52;119.0;8.22;200;197;1241.14
LOT00089;5/4/2025;PRD029;PRE02;T2;5/4/2025 18:06;99.1;6.89;100;87;2739.7
LOT00090;12/3/2025;PRD024;PRE02;T1;12/3/2025 12:22;124.0;8.09;100;97; 2492.58 
LOT00091;24/9/2024;PRD011;PRE03;T3;25/9/2024 03:22;90.8;9.31;80;78;2368.77
lot00092;16/7/2024;PRD022;PRE03;T3;17/7/2024 03:11;103.8;7.35;80;77;7847.23
LOT00093;29/5/2025;PRD012;PRE04;T3;30/5/2025 01:54;75.6;6.78;120;116;14091.7
LOT00094;7/8/2024;PRD020;PRE02;T1;7/8/2024 09:51;74.9;7.22;200;196;3308.27
LOT00095;11/10/2024;PRD006;PRE03;T3;12/10/2024 01:57;90.5;8.83;80;77;2631.85
LOT00096;21/4/2025;PRD013;PRE05;T2;21/4/2025 16:34;91.1;7.17;30;29;37430.6
LOT00097;23/9/2024;PRD005;PRE02;T3;24/9/2024 02:24;85.2;8.41;200;198;2514.02
 LOT00098 ;24/04/25;PRD010;PRE03;T3;25/4/2025 01:13;106.9;8.85;40;38;1307.65
LOT00099;2/12/2024;PRD019;PRE02;T3;3/12/2024 02:25;57.4;6.11;100;95;1560.81
LOT00100;21/3/2025;PRD028;PRE05;t1;21/3/2025 10:08;84.0;6.9;15;14;20477.72
LOT00101;13/3/2025;PRD028;PRE05;T1;13/3/2025 12:29;84.9;6.64;25;24; 41000,15 
LOT00102;6/2/2025;PRD016;PRE04;T3;7/2/2025 02:03;94.1;7.05;100;95;11743.42
LOT00103;18/1/2025;PRD015;PRE05;T1;18/1/2025 11:08;105.3;6.5;30;23;31600.17
LOT00104;10/5/2025;PRD017; PRE02 ;T1;10/5/2025 09:28;74.8;7.11;200;195;3179.85
LOT00105;30/1/2025;PRD016;PRE05;T3;31/1/2025 00:23;81.6;7.48;30;29;36340.94
LOT00106;24/6/2025;PRD020;PRE04;T3;25/6/2025 00:48;61.0;6.63;100;98;8249.43
LOT00107;5/6/2025;PRD024;PRE03; T1 ;5/6/2025 12:48;109.4;7.26;120;116;10485.26
LOT00108;30/11/2024;PRD023;PRE02;T1;30/11/2024 10:15;121.1;8.04;250;241;5498.54
LOT00109;13/9/2024;PRD004;PRE03;T2;13/9/2024 16:19;94.3;7.12;100;98;5509.71
LOT00110;31/10/2024;PRD018;PRE03;T3;01/11/2024 00.23;55.6;6.35;40;38;2629.55
LOT00111;1/3/2025;PRD018;PRE05;T3;2/3/2025 01:55;49.1;7.77;10;8;7950.13
LOT00112;4/10/2024;PRD006;PRE02;T2;4/10/2024 15:59;96.0;8.9;200;192;1659.9
LOT00113;20/2/2025;PRD028;PRE04;T1;20/2/2025 09:15;92.1;7.69;120;118;16895.38
LOT00114;10/9/2024;PRD014;PRE04;T3;11/09/2024 02.55;75.2;7.08;100;98;12653.36
LOT00115;5/12/2024;PRD021;PRE02; T3 ;6/12/2024 03:24;127.7;8.33;200;196;4661.84
LOT00116;27/2/2025;PRD005;PRE02;T2;27/2/2025 17:36;87.9;7.79;200;190;2679.96
LOT00117;14/6/2025;PRD019;PRE03;T3;15/6/2025 04:54;52.3;6.77;40;38;2526.68
LOT00118;23/4/2025;PRD026;PRE04;T2;23/4/2025 16:00;80.3;6.6;40;39;5482.82
LOT00119;10/1/2025;PRD025;PRE03;T2;10/1/2025 17:10;74.0;7.79;40;38;4533.53
LOT00120;3/2/2025;PRD001;PRE04;T3;4/2/2025 02:07;86.9;7.23;60;59;4389.02
LOT00121;1/5/2025;PRD025;PRE05;T1;1/5/2025 11:01;77.3;6.57;25;24;35379.52
LOT00122;10/6/2025;PRD010;PRE02;T3;11/6/2025 02:00;107.5;9.48;300;288;2177.51
LOT00123;26/5/2025;PRD006;pre03;T1;26/5/2025 12:43;111.5;8.25;60;51;1790.47
LOT00124;7/9/2024;PRD026;PRE04;T2;7/9/2024 18:15;76.1;7.47;100;99; 13777.39 
 LOT00125 ;9/6/2025;PRD022;PRE03;T1;9/6/2025 11:43;126.1;7.5;40;38;3376.82
LOT00126;22/11/2024;PRD008;PRE03;T1;22/11/2024 12:27;103.0;8.46;80;78;2398.69
LOT00127;15/4/2025;PRD027;PRE04;T2;15/4/2025 16:40;77.8;7.9;120;118;17262.69
LOT00128;21/2/2025;PRD008;PRE02;T2;21/2/2025 18:35;88.0;7.96;300;269;2475.4
LOT00129;28/6/2025;PRD027;PRE05;T1;28/06/2025 07.42;85.2;7.06;30;29;48905.13
LOT00130;1/4/2025;PRD018;PRE03;T3;2/4/2025 00:20;70.3;7.01;60;57;3474.81
LOT00131;21/2/2025; PRD027 ;PRE04;T2;21/02/2025 17.39;106.3;7.63;40;28;5855.12
 LOT00132 ;28/3/2025;PRD006;PRE01;T3;29/3/2025 01:20;114.6;8.92;400;283;695.3
 LOT00133 ;30/6/2025;PRD002;PRE02;T1;30/6/2025 08:53;82.4;7.36;250;245;3334.33
LOT00134;8/8/2024;PRD023;PRE03;T1;08/08/2024 11:23;100.9;7.41;100;97;8740.46
LOT00135;12/8/2024;PRD022;PRE02;T1;12/8/2024 09:22;121.4;7.95;250;241;5223.83
LOT00136;11/4/2025;PRD009;PRE01;T2;11/4/2025 16:48;91.8;8.83;600;587;1099.97
LOT00137;16/6/2025;PRD003;PRE03;T3;17/6/2025 01:29;84.0;7.4;60;57;3108.85
LOT00138;3/12/2024; PRD009 ; PRE05 ;T2;3/12/2024 18:53;106.8;8.57;20;19;7888.99
LOT00139;20/1/2025;PRD010;PRE02;T2;20/1/2025 18:40;109.4;9.17;200;193;1607.71
LOT00140;28/6/2025;PRD019;pre05;T3;29/6/2025 03:27;70.8;6.1;25;24;19484.55
LOT00141;22/1/2025;PRD014;PRE05;T3;23/1/2025 04:35;94.8;7.04;30;29;37684.23
LOT00142;6/2/2025;PRD006;PRE03;T2;6/2/2025 15:21;87.6;8.8;120;100;3399.14
LOT00143;29/1/2025;PRD023;PRE03;T2;29/1/2025 16:18;110.4;7.51;60;58;5236.16
LOT00144;12/6/2025;PRD003;PRE02;T2;12/6/2025 18:02;82.6;7.24;300;291;3938.88
 LOT00145 ;16/1/2025;PRD022;PRE02;T2;16/1/2025 17:12;108.4;8.06;100;97;2403.85
LOT00146;15/1/2025;PRD004;PRE02;T3;16/1/2025 05:02;85.2;8.27;300;287;4106.79
LOT00147;8/1/2025;PRD022;PRE01;T2;8/1/2025 20:10;112.5;7.21;500;485;2842.4
LOT00148;14/5/2025;PRD006;PRE03;T1;14/5/2025 10:13;99.7;8.29;100;99;3003.26
LOT00149;21/10/2024;PRD027;PRE04;T3;22/10/2024 00:13;76.7;6.93;100;97;15817.64
LOT00150;11/2/2025;PRD009;PRE04;T1;11/2/2025 11:08;104.7;8.98;60;57;2639.67
LOT00151;28/4/2025;PRD015;PRE05;T1;28/4/2025 11:29;90.4;7.68;15;14;17643.86
LOT00152;13/6/2025; PRD023 ;PRE02;T3;14/6/2025 00:45;137.9;8.67;150;126;3152.08
LOT00153;29/1/2025;PRD027;PRE05;T3;30/1/2025 03:50;89.0;7.82;10;9;15749.41
LOT00154;22/05/2025;PRD016;PRE04;T3;23/5/2025 00:46;77.6;8.06;100;75;12361.76
LOT00155;21/2/2025;PRD016;PRE05;T1;21/2/2025 08:23;86.0;6.5;25;24; 30093.83 
LOT00156;29/5/2025;PRD029;PRE03;T1;29/5/2025 08:16;88.8;7.59;60;58;6198.12
LOT00157;31/8/2024;PRD019;PRE02;T1;31/8/2024 09:32;51.8;6.57;100;95;1545.55
LOT00158;9/5/2025;PRD028;PRE03;T3;10/5/2025 03:32;91.7;7.44;60;59;6906.7
LOT00159;9/12/2024;PRD005;PRE04;T2;9/12/2024 17:48;94.7;8.0;120;90;9141.35
LOT00160;27/5/2025;PRD007;PRE03;T3;28/5/2025 01:43;97.7;8.36;120;114;3879.88
LOT00161;27/9/2024;PRD013;PRE05;T2;27/9/2024 16:33;89.7;6.52;15;14;15870.43
LOT00162;2/4/2025;PRD017;PRE04;T1;2/4/2025 09:52;57.7;6.77;60;59;4692.62
LOT00163;31/10/2024;PRD021;PRE03;T3;1/11/2024 01:20;127.7;7.17;120;117;10388.07
LOT00164;25/3/2025;PRD023;PRE01;T2;25/3/2025 17:28;100.6;7.17;200;170;1032.69
LOT00165;29/7/2024;PRD023;PRE05;T2;29/07/2024 20.55;111.0;7.38;10;9;12417.89
LOT00166;30/9/2024;PRD028;PRE05;T2;30/09/2024 20:19;76.7;6.87;20;19;27467.32
LOT00167;24/2/2025;PRD006;PRE02;t2;24/2/2025 18:39;91.7;8.69;200;192;1531.3
LOT00168;13/7/2024;PRD019;PRE05;T1;13/7/2024 12:24;65.9;7.04;10;9;7562.46
LOT00169;11/9/2024;PRD004;PRE02;T2;11/9/2024 16:29;101.9;7.8;200;158;2777.19
LOT00170;5/9/2024;PRD013;PRE02;T2;5/9/2024 18:10;96.3;7.89;250;246;5738.99
LOT00171;24/2/2025;PRD007;PRE01;t1;24/2/2025 11:15;100.7;9.45;300;291;565.82
LOT00172;14/9/2024;PRD010;PRE04;T1;14/9/2024 09:39;97.9;8.07;80;77;3514.03
LOT00173;10/9/2024;PRD024;PRE03;T1;10/9/2024 07:19;124.9;8.47;60;57;5292.63
LOT00174;27/5/2025;PRD019;PRE02;T1;27/5/2025 09:05;72.6;7.24;200;191;3456.07
LOT00175;18/10/2024;PRD024; PRE02 ;T3;19/10/2024 02:02;113.4;7.22;300;294;6458.06
LOT00176;27/3/2025;PRD002;PRE01;T2;27/3/2025 20:04;94.8;8.17;400;389;1404.86
LOT00177;21/11/2024;PRD009;PRE02;T1;21/11/2024 11:44;80.5;7.55;150;79;1169.58
LOT00178;27/9/2024;PRD002;PRE04;T2;27/9/2024 17:46;99.7;8.78;40;33;2716.94
LOT00179;20/7/2024;PRD027; PRE05 ;T2;20/7/2024 15:52;88.0;6.53;25;23;40634.22
LOT00180;26/6/2025;PRD026;PRE05;T1;26/6/2025 08:54;95.8;7.94;20;19;30972.84
LOT00181;28/6/2025; PRD006 ;PRE03;t3;29/6/2025 01:45;97.6;9.1;80;76;2509.84
LOT00182;10/5/2025;PRD025;PRE05;T3;11/5/2025 04:20;98.1;6.71;10;9;16447.14
LOT00183;5/11/2024; PRD023 ;PRE03;T1;5/11/2024 10:25;123.6;8.08;40;38;3767.46
LOT00184;22/4/2025;PRD013;PRE04;T2;22/4/2025 17:16;76.8;7.77;80;76;8836.65
LOT00185;5/3/2025;PRD006;PRE03;T2;5/3/2025 19:00;102.1;8.65;40;38;1129.33
LOT00186;18/1/2025;PRD024;PRE03;T1;18/1/2025 09:16;110.8;7.64;80;79;7380.13
LOT00187;20/1/2025;PRD021;PRE02;T1;20/1/2025 12:21;102.7;7.82;150;145;3321.34
LOT00188;7/6/2025;PRD009;PRE02; T1 ;7/6/2025 08:15;106.2;8.62;300;288;2068.86
LOT00189;18/7/2024;PRD022;PRE04;T2;18/7/2024 16:54;105.2;8.48;60;59;6661.71
LOT00190;14/8/2024;PRD027; PRE04 ;T2;14/8/2024 21:04;117.4;7.34;40;29;6147.67
lot00191;21/8/2024;PRD005;pre03;T1;21/8/2024 12:36;93.2;7.4;100;97;5221.7
LOT00192;26/7/2024;PRD022;PRE03;T2;26/7/2024 18:35;100.6;8.23;80;77;7693.7
LOT00193;6/5/2025;PRD008;PRE01;T2;6/5/2025 17:14;94.2;9.24;500;493;1019.77
LOT00194;15/7/2024;PRD010;PRE03;T3;16/7/2024 01:15;116.5;8.55;80;56;2291.51
LOT00195;28/2/2025;PRD004;PRE03;T2;28/2/2025 18:46;92.6;7.39;40;38;2052.36
LOT00196;20/3/2025;PRD028;PRE03;T2;20/3/2025 15:44;97.3;7.47;120;118;12754.18
LOT00197;24/2/2025;PRD023;PRE03;T2;24/2/2025 20:31;117.5;7.01;80;78;7335.03
LOT00198;30/5/2025; PRD011 ;PRE05;T2;30/5/2025 17:25;100.3;8.36;10;9;4241.89
LOT00199;24/1/2025;PRD024;PRE01;T2;24/1/2025 16:25;92.8;8.59;500;385;2947.97
LOT00200;2/10/2024; PRD029 ;pre04;T2;2/10/2024 16:39;80.7;7.62;80;77;12928.42
LOT00201;14/3/2025;PRD004;PRE02;T2;14/3/2025 18:58;61.0;9.34;150;119;1922.06
LOT00202;21/5/2025;PRD005;PRE02;T2;21/5/2025 15:40;84.1;8.14;150;146; 1848.93 
LOT00203;20/7/2024;PRD014;PRE04;T2;20/7/2024 18:36;97.3;7.64;120;115;14412.07
LOT00204;24/9/2024;PRD012;PRE04;T3;24/9/2024 23:52;98.7;7.18;120;117;13468.53
LOT00205;23/10/2024;PRD029;PRE04;T2;23/10/2024 17:14;87.7;6.75;80;78;12701.11
LOT00206;25/7/2024;PRD020;PRE01;T3;26/07/2024 03:11;59.5;6.82;500;492;1877.49
LOT00207;23/08/24;PRD004;PRE03;T2;23/8/2024 17:41;91.8;7.75;120;115;6001.37
LOT00208;4/3/2025;PRD010;pre02;T1;4/3/2025 09:40;90.3;8.13;100;99;781.56
lot00209;29/11/2024;PRD024;PRE03;T2;29/11/2024 19:40;93.9;6.6;80;61;7454.54
LOT00210;10/2/2025;PRD029;PRE02;T2;10/2/2025 16:50;94.4;6.77;250;242;7025.89
LOT00211;31/7/2024;PRD014;PRE04;T1;07-31-2024 08:44;97.8;7.22;120;118;13032.63
LOT00212;27/1/2025;PRD022;PRE04;t2;27/1/2025 16:22;107.8;7.47;120;118;14620.75
LOT00213;5/11/2024;PRD011;PRE03;T2;5/11/2024 19:16;93.0;9.24;120;114;3703.25
LOT00214;20/11/2024;PRD028;PRE03;T1;20/11/2024 11:43;86.5;7.07;60;57;6674.65
LOT00215;19/7/2024;prd011;PRE01;T1;19/7/2024 08:15;107.8;8.84;500;498;924.04
LOT00216;17/2/2025;PRD018;PRE04;T3;18/2/2025 00:13;50.1;6.53;80;78;6550.51
LOT00217;5/10/2024;PRD027;PRE05;t2;5/10/2024 18:44;83.7;7.67;20;19;29486.82
LOT00218;3/7/2024;PRD025;PRE05;T1;3/7/2024 12:20;102.3;7.27;15;12;21031.43
LOT00219;20/6/2025;PRD020;PRE04;T2;20/6/2025 18:10;82.7;6.63;60;43;5143.34
LOT00220;26/11/2024;PRD018;PRE04;T1;26/11/2024 08:58;62.6;7.04;80;78;7070.48
LOT00221;25/3/2025;PRD023;PRE02;T2;25/3/2025 15:46;104.4;8.01;150;144;3596.28
LOT00222;17/2/2025;PRD002;PRE03;T3;18/2/2025 04:11;91.1;7.84;60;58;3337.01
LOT00223;12/10/2024;PRD013;PRE04;T1;12/10/2024 10:13;93.9;7.32;120;115;14546.16
LOT00224;5/2/2025;PRD003;PRE02;T1;5/2/2025 12:40;82.0;7.88;200;190;2628.18
LOT00225;8/4/2025;PRD020;PRE01;T2;8/4/2025 16:37;63.1;7.44;600;572;2396.46
LOT00226;13/5/2025;PRD008;PRE04;T2;13/5/2025 20:42;92.3;8.52;60;59;2454.58
LOT00227;22/11/2024;PRD011;PRE02;T2;22/11/2024 19:57;100.3;8.76;250;238;2040.55
LOT00228;16/10/2024;PRD006;PRE05;T1;16/10/2024 11:08;94.1;9.24;25;24;10879.5
LOT00229;12/4/2025;PRD011;PRE01;T1;12/4/2025 12:18;108.2;8.61;500;490;937.27
LOT00230;31/12/2024;PRD021;PRE03;T3;01/01/2025 01:57;118.2;7.42;100;96;9579.82
LOT00231;12/6/2025;PRD024;PRE02; T3 ;13/6/2025 00:20;126.2;7.21;100;95;2311.84
LOT00232;20/3/2025;PRD024;PRE03;T2;20/3/2025 16:58;95.0;6.37;60;42;5472.68
LOT00233;6/11/2024;PRD018;PRE02;T2;6/11/2024 17:22;73.8;6.54; 150 ;143;2438.32
LOT00234;9/12/2024;PRD020;PRE03;T3;10/12/2024 01:21;57.8;7.18;100;96;6122.95
LOT00235;27/5/2025;PRD015;PRE04;T3;28/5/2025 01:41;97.3;6.79;40;39;5003.87
LOT00236;5/4/2025; PRD019 ;PRE02;T1;5/4/2025 09:34;59.8;7.34;300;295;4563.71
LOT00237;20/9/2024;PRD017;PRE01;T3;21/9/2024 04:23;68.4;6.73;400;380;1679.46
lot00238;24/7/2024;PRD022;PRE02;T2;24/7/2024 18:01;141.4;9.23;200;134;4599.65
LOT00239;23/10/2024;PRD029;PRE05;T2;23/10/2024 19:17;67.3;7.51;30;26;44459.09
LOT00240;17/12/2024;PRD005;PRE02;T3;18/12/2024 03:46;87.2;7.89;250;237;3005.29
LOT00241;1/10/2024;PRD002;PRE04;T1;1/10/2024 12:44;93.2;8.09;80;79;5282.58
LOT00242;2/10/2024;PRD008;PRE04;T3;3/10/2024 01:26;108.4;8.89;40;38;1563.35
LOT00243;20/7/2024;PRD017;PRE03;T1;20/7/2024 08:27;66.5;7.35;120;118;8160.22
LOT00244;4/3/2025;PRD012;PRE05;T1;4/3/2025 11:00;69.8;7.91;10;7;12474.1
LOT00245;14/10/2024;PRD026;PRE01;T3;15/10/2024 03:32;73.2;7.14;600;577;4578.51
LOT00246;5/3/2025;PRD022; PRE02 ;T3;6/3/2025 03:09;116.6;7.38;200;195;4784.75
LOT00247;22/1/2025;PRD004;pre03;T1;22/1/2025 12:24;82.4;8.45;40;39;2235.77
LOT00248;22/1/2025;PRD009;PRE02;T3;23/1/2025 00:20;102.8;8.66;150;148;1231.7
LOT00249;31/10/2024;PRD017;PRE03;T3;1/11/2024 00:35;74.9;7.17;80;78;4944.69
LOT00250;19/11/2024;PRD003;PRE03;T2;19/11/2024 17:33;98.3;7.15;100;80;5311.56
LOT00251;10/1/2025;PRD017;PRE05;T3;11/1/2025 02:20;74.0;6.69;25;24;22520.5
LOT00252;22/3/2025;PRD026;PRE05;T2;22/3/2025 17:39;66.4;7.87;20;14;32588.38
LOT00253;1/11/2024;PRD009; PRE02 ;T3;2/11/2024 01:39;94.1;8.37;300;290;2394.53
LOT00254;9/12/2024;PRD016;PRE04;T2;9/12/2024 21:06;87.3;7.98;120;115;13146.31
